Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Michał Nalepa,pl POL,DF,32.0,29.6,8,1,1,25,17,0,8,40,17,,,0,Matches
Filip Kocaba,pl POL,"MF,DF",20.0,28.1,5,0,0,69,54,4,13,26,25,,,0,Matches
Marcel Reguła,pl POL,"MF,FW",18.0,23.8,7,1,1,48,41,13,32,19,26,,,0,Matches
Jasmin Burić,ba BIH,GK,38.0,23.2,3,0,0,0,5,0,0,0,0,,,0,Matches
Damian Dąbrowski,pl POL,MF,32.0,21.0,2,0,0,11,7,0,108,23,28,,,0,Matches
Josip Ćorluka,ba BIH,"DF,MF",30.0,20.0,1,0,0,12,12,0,64,25,27,,,0,Matches
Damian Michalski,pl POL,DF,27.0,20.3,3,0,0,13,13,1,2,20,7,,,0,Matches
Roman Yakuba,ua UKR,DF,24.0,18.7,2,0,0,20,7,0,13,26,15,,,0,Matches
Adam Radwański,pl POL,MF,27.0,18.0,6,0,0,41,19,4,40,13,12,,,0,Matches
Luka Lučić,hr CRO,"DF,MF",30.0,17.7,5,1,1,18,15,0,71,15,23,,,0,Matches
Aleks Ławniczak,pl POL,DF,26.0,16.9,1,0,0,18,10,1,1,17,9,,,0,Matches
Igor Orlikowski,pl POL,DF,19.0,14.6,3,1,0,21,12,1,16,7,14,,,0,Matches
Jakub Kolan,pl POL,MF,20.0,13.8,2,0,0,20,33,0,10,17,10,,,0,Matches
Michalis Kosidis,gr GRE,FW,23.0,14.1,3,0,0,19,26,9,7,1,1,,,0,Matches
Kajetan Szmyt,pl POL,MF,23.0,11.8,0,0,0,11,18,8,32,6,6,,,1,Matches
Dominik Hładun,pl POL,GK,29.0,10.8,0,0,0,0,1,0,0,0,0,,,0,Matches
Leonardo Rocha,pt POR,FW,28.0,8.8,1,0,0,6,11,1,2,3,1,,,1,Matches
Mateusz Grzybek,pl POL,"DF,MF",29.0,9.4,3,0,0,12,15,0,17,6,5,,,0,Matches
Levente Szabo,hu HUN,FW,26.0,9.5,2,0,0,16,15,2,4,3,5,,,0,Matches
Mateusz Dziewiatowski,pl POL,"MF,FW",18.0,6.1,3,0,0,24,10,0,4,8,10,,,0,Matches
Jakub Sypek,pl POL,MF,24.0,9.9,5,0,0,13,21,4,28,6,7,,,0,Matches
Sebastian Kowalczyk,pl POL,MF,26.0,4.1,1,0,0,9,10,0,7,3,5,,,0,Matches
Tomasz Makowski,pl POL,MF,26.0,5.7,0,0,0,8,9,0,26,16,11,,,0,Matches
Jesús Díaz,co COL,MF,26.0,4.7,0,0,0,7,9,0,8,3,5,,,0,Matches
Bartłomiej Kłudka,pl POL,DF,23.0,4.1,0,0,0,1,8,1,5,2,6,,,0,Matches
Mateusz Wdowiak,pl POL,MF,28.0,4.2,1,0,0,5,8,0,12,0,4,,,0,Matches
Jakub Ligocki,pl POL,MF,17.0,1.0,0,0,0,0,1,0,6,1,3,,,0,Matches
Mihael Mlinarić,hr CRO,FW,25.0,0.7,1,0,0,2,0,0,3,1,0,,,0,Matches
Kamil Nowogoński,pl POL,MF,18.0,0.6,0,0,0,1,2,0,1,0,2,,,0,Matches
Marek Mróz,pl POL,MF,26.0,0.5,0,0,0,1,2,0,1,0,0,,,0,Matches
Tomasz Pieńko,pl POL,"FW,MF",21.0,0.3,0,0,0,0,1,0,0,0,0,,,0,Matches
Arkadiusz Woźniak,pl POL,"FW,MF",35.0,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Cyprian Popielec,pl POL,MF,18.0,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Squad Total,,,26.8,34.0,68,4,3,451,412,49,541,307,284,,,2,
Opponent Total,,,26.9,34.0,69,2,0,426,438,55,802,181,252,,,2,
