Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Michał Nalepa,pl POL,DF,32.0,31,2660.0,86.0,86.9,29.6,30,89.0,29,1,3.0,0,1.42,41.0,35.0,6.0,0.2,-0.02,Matches
Filip Kocaba,pl POL,"MF,DF",20.0,31,2533.0,82.0,82.8,28.1,30,84.0,21,1,27.0,1,1.35,35.0,32.0,3.0,0.11,-0.58,Matches
Marcel Reguła,pl POL,"MF,FW",18.0,31,2139.0,69.0,69.9,23.8,28,72.0,4,3,45.0,0,1.45,30.0,24.0,6.0,0.25,0.15,Matches
Jasmin Burić,ba BIH,GK,38.0,24,2084.0,87.0,68.1,23.2,23,90.0,23,1,14.0,8,1.46,22.0,21.0,1.0,0.04,-0.51,Matches
Damian Dąbrowski,pl POL,MF,32.0,25,1894.0,76.0,61.9,21.0,22,85.0,16,3,11.0,1,1.2,31.0,26.0,5.0,0.24,0.08,Matches
Josip Ćorluka,ba BIH,"DF,MF",30.0,25,1796.0,72.0,58.7,20.0,21,81.0,13,4,24.0,6,1.28,24.0,20.0,4.0,0.2,-0.01,Matches
Damian Michalski,pl POL,DF,27.0,23,1829.0,80.0,59.8,20.3,20,89.0,19,3,20.0,11,1.35,20.0,16.0,4.0,0.2,-0.02,Matches
Roman Yakuba,ua UKR,DF,24.0,22,1684.0,77.0,55.0,18.7,19,87.0,17,3,9.0,2,1.73,27.0,21.0,6.0,0.32,0.26,Matches
Adam Radwański,pl POL,MF,27.0,31,1619.0,52.0,52.9,18.0,19,66.0,0,12,31.0,1,1.48,29.0,22.0,7.0,0.39,0.39,Matches
Luka Lučić,hr CRO,"DF,MF",30.0,24,1591.0,66.0,52.0,17.7,17,83.0,11,7,25.0,7,1.46,23.0,20.0,3.0,0.17,-0.08,Matches
Aleks Ławniczak,pl POL,DF,26.0,17,1517.0,89.0,49.6,16.9,17,89.0,16,0,,3,1.47,29.0,24.0,5.0,0.3,0.18,Matches
Igor Orlikowski,pl POL,DF,19.0,19,1310.0,69.0,42.8,14.6,15,78.0,8,4,35.0,6,1.58,12.0,15.0,-3.0,-0.21,-0.72,Matches
