Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 15_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
Michał Nalepa,pl POL,DF,32.0,29.6,2,46,12,26.1,1.56,0.41,0.04,0.17,0,0,Matches
Filip Kocaba,pl POL,"MF,DF",20.0,28.1,2,15,2,13.3,0.53,0.07,0.13,1.0,0,0,Matches
Marcel Reguła,pl POL,"MF,FW",18.0,23.8,5,50,21,42.0,2.1,0.88,0.1,0.24,0,1,Matches
Jasmin Burić,ba BIH,GK,38.0,23.2,0,0,0,,0.0,0.0,,,0,0,Matches
Damian Dąbrowski,pl POL,MF,32.0,21.0,0,10,2,20.0,0.48,0.1,0.0,0.0,0,0,Matches
Josip Ćorluka,ba BIH,"DF,MF",30.0,20.0,1,10,3,30.0,0.5,0.15,0.1,0.33,0,0,Matches
Damian Michalski,pl POL,DF,27.0,20.3,1,16,3,18.8,0.79,0.15,0.06,0.33,0,0,Matches
Roman Yakuba,ua UKR,DF,24.0,18.7,0,11,2,18.2,0.59,0.11,0.0,0.0,0,0,Matches
Adam Radwański,pl POL,MF,27.0,18.0,4,25,10,40.0,1.39,0.56,0.12,0.3,1,1,Matches
Luka Lučić,hr CRO,"DF,MF",30.0,17.7,0,7,2,28.6,0.4,0.11,0.0,0.0,0,0,Matches
Aleks Ławniczak,pl POL,DF,26.0,16.9,1,14,2,14.3,0.83,0.12,0.07,0.5,0,0,Matches
Igor Orlikowski,pl POL,DF,19.0,14.6,0,11,2,18.2,0.76,0.14,0.0,0.0,0,0,Matches
Jakub Kolan,pl POL,MF,20.0,13.8,1,19,6,31.6,1.38,0.43,0.05,0.17,0,0,Matches
Michalis Kosidis,gr GRE,FW,23.0,14.1,6,31,11,35.5,2.19,0.78,0.1,0.27,3,3,Matches
Kajetan Szmyt,pl POL,MF,23.0,11.8,1,21,6,28.6,1.78,0.51,0.05,0.17,0,0,Matches
Dominik Hładun,pl POL,GK,29.0,10.8,0,0,0,,0.0,0.0,,,0,0,Matches
Leonardo Rocha,pt POR,FW,28.0,8.8,7,31,17,54.8,3.51,1.93,0.19,0.35,1,1,Matches
Mateusz Grzybek,pl POL,"DF,MF",29.0,9.4,3,14,4,28.6,1.48,0.42,0.21,0.75,0,0,Matches
Levente Szabo,hu HUN,FW,26.0,9.5,3,22,6,27.3,2.32,0.63,0.14,0.5,0,0,Matches
Mateusz Dziewiatowski,pl POL,"MF,FW",18.0,6.1,1,7,4,57.1,1.15,0.65,0.14,0.25,0,0,Matches
Jakub Sypek,pl POL,MF,24.0,9.9,3,12,5,41.7,1.21,0.5,0.25,0.6,0,0,Matches
Sebastian Kowalczyk,pl POL,MF,26.0,4.1,0,5,0,0.0,1.21,0.0,0.0,,0,0,Matches
Tomasz Makowski,pl POL,MF,26.0,5.7,0,5,1,20.0,0.88,0.18,0.0,0.0,0,0,Matches
Jesús Díaz,co COL,MF,26.0,4.7,1,12,3,25.0,2.57,0.64,0.08,0.33,0,0,Matches
Bartłomiej Kłudka,pl POL,DF,23.0,4.1,1,5,1,20.0,1.21,0.24,0.2,1.0,0,0,Matches
Mateusz Wdowiak,pl POL,MF,28.0,4.2,0,4,0,0.0,0.95,0.0,0.0,,0,0,Matches
Jakub Ligocki,pl POL,MF,17.0,1.0,0,1,0,0.0,0.98,0.0,0.0,,0,0,Matches
Mihael Mlinarić,hr CRO,FW,25.0,0.7,0,1,0,0.0,1.34,0.0,0.0,,0,0,Matches
Kamil Nowogoński,pl POL,MF,18.0,0.6,0,1,0,0.0,1.67,0.0,0.0,,0,0,Matches
Marek Mróz,pl POL,MF,26.0,0.5,0,0,0,,0.0,0.0,,,0,0,Matches
Tomasz Pieńko,pl POL,"FW,MF",21.0,0.3,0,1,0,0.0,3.0,0.0,0.0,,0,0,Matches
Arkadiusz Woźniak,pl POL,"FW,MF",35.0,0.2,0,1,0,0.0,5.29,0.0,0.0,,0,0,Matches
Cyprian Popielec,pl POL,MF,18.0,0.0,0,0,0,,0.0,0.0,,,0,0,Matches
Squad Total,,,26.8,34.0,43,408,125,30.6,12.0,3.68,0.09,0.3,5,6,
Opponent Total,,,26.9,34.0,36,525,149,28.4,15.44,4.38,0.06,0.22,3,4,
