team,mp,wins,draws,losses,pts,xpts,gf,ga,xg,xga,goals_prevented,pts_diff,gd,xgd,finishing,defending,pos,xpos,pos_swing
Lech Poznań,34,16,12,6,60,61.363495094399106,62,45,64.47,40.86,-4.9284,-1.3634950943991058,17,23.61,-2.469999999999999,-4.140000000000001,1,1,0
Górnik Zabrze,34,16,8,10,56,50.04493102279286,50,38,49.73,42.11,0.5026999999999998,5.955068977207141,12,7.619999999999997,0.2700000000000031,4.109999999999999,2,6,4
Jagiellonia Białystok,34,15,11,8,56,44.26079960807282,56,41,50.7,55.94,3.8137000000000003,11.739200391927177,15,-5.239999999999995,5.299999999999997,14.939999999999998,3,12,9
Raków Częstochowa,34,16,7,11,55,54.47416322341198,51,40,55.2,43.28,4.0881,0.5258367765880223,11,11.920000000000002,-4.200000000000003,3.280000000000001,4,3,-1
GKS Katowice,34,14,8,12,50,43.84887556379801,51,45,45.67,48.54,-5.2212,6.1511244362019895,6,-2.8699999999999974,5.329999999999998,3.539999999999999,5,14,9
Legia Warszawa,34,12,13,9,49,56.244273785193236,42,37,48.74,34.85,0.3671,-7.244273785193236,5,13.89,-6.740000000000002,-2.1499999999999986,6,2,-4
Zagłębie Lubin,34,13,9,12,48,40.4835040197581,45,38,39.55,47.35,0.5999,7.516495980241899,7,-7.800000000000004,5.450000000000003,9.350000000000001,7,15,8
Wisła Płock,34,12,10,12,46,44.856031248076135,34,38,42.56,45.54,5.5204,1.1439687519238646,-4,-2.979999999999997,-8.560000000000002,7.539999999999999,8,11,3
Pogoń Szczecin,34,13,6,15,45,47.15866341758798,47,49,53.33,53.91,7.4791,-2.158663417587981,-2,-0.5799999999999983,-6.329999999999998,4.909999999999997,9,9,0
Radomiak Radom,34,11,11,12,44,44.22200671166522,52,53,44.81,52.57,-2.8035,-0.22200671166522312,-1,-7.759999999999998,7.189999999999998,-0.4299999999999997,10,13,3
KS Lechia Gdańsk,34,12,7,15,43,51.28415719473422,62,65,59.15,50.74,-12.675,-8.28415719473422,-3,8.409999999999997,2.8500000000000014,-14.259999999999998,11,4,-7
MKS Korona Kielce,34,11,10,13,43,48.58903809577984,40,40,52.1,50.0,6.9834,-5.589038095779841,0,2.1000000000000014,-12.100000000000001,10.0,12,7,-5
Motor Lublin,34,10,13,11,43,38.0868618157212,46,53,43.01,59.12,5.9212,4.9131381842788,-7,-16.11,2.990000000000002,6.119999999999997,13,17,4
Cracovia,34,9,15,10,42,50.61230250101835,39,42,43.8,37.64,-5.8523000000000005,-8.612302501018348,-3,6.159999999999997,-4.799999999999997,-4.359999999999999,14,5,-9
Widzew Łódź,34,12,6,16,42,47.772664871375646,41,41,40.94,39.04,-8.332,-5.772664871375646,0,1.8999999999999986,0.060000000000002274,-1.9600000000000009,15,8,-7
Piast Gliwice,34,11,8,15,41,47.10143675721194,42,46,47.6,47.949999999999996,3.1208,-6.101436757211943,-4,-0.3499999999999943,-5.600000000000001,1.9499999999999957,16,10,-6
MZKS Arka Gdynia,34,9,9,16,36,35.50720065553766,34,61,35.660000000000004,53.87,-5.771100000000001,0.4927993444623411,-27,-18.209999999999994,-1.6600000000000037,-7.130000000000003,17,18,1
Bruk-Bet Termalica Nieciecza,34,9,7,18,34,39.291163696312104,43,65,44.14,57.85,-3.6900000000000004,-5.291163696312104,-22,-13.71,-1.1400000000000006,-7.149999999999999,18,16,-2
