match_id,round,date,home_team,home_id,away_team,away_id,home_score,away_score,venue,city,referee,result,home_xg,away_xg,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_corners,away_corners,home_passes,away_passes,home_accurate_passes,away_accurate_passes,home_fouls,away_fouls,home_tackles,away_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_touches_in_box,away_touches_in_box,home_final_third_entries,away_final_third_entries,home_yellow_cards,away_yellow_cards,home_gk_saves,away_gk_saves,home_goals_prevented,away_goals_prevented
13981750,1,2025-07-19,Widzew Łódź,3115,Zagłębie Lubin,3113,1,0,Stadion Widzewa Łódź,Lodz,Paweł Raczkowski,H,1.06,0.67,53,47,15,11,4,2,,,,,8,6,349,311,283,244,8,20,16,15,2,11,34,44,34,21,58,36,3.0,4.0,2,3,0.124,-0.2298
13981752,1,2025-07-20,Górnik Zabrze,3110,KS Lechia Gdańsk,7913,2,1,Stadion im. Ernesta Pohla,Zabrze,Marcin Kochanek,H,2.31,1.9,53,47,21,15,6,6,2.0,3.0,1.0,2.0,6,3,430,398,371,329,8,10,12,16,4,2,39,34,35,22,48,42,1.0,1.0,5,4,1.7446,-0.2653
13981753,1,2025-07-20,Motor Lublin,7915,MZKS Arka Gdynia,5064,1,0,Arena Lublin,Lublin,Bartosz Frankowski,H,1.92,0.49,60,40,17,9,5,1,4.0,0.0,3.0,0.0,8,8,457,301,375,235,14,11,6,12,2,5,38,29,39,15,49,51,2.0,4.0,1,3,0.0813,-0.0154
13981754,1,2025-07-19,GKS Katowice,3112,Raków Częstochowa,35268,0,1,Arena Katowice,Katowice,Jaroslaw Przybyl,A,0.16,1.81,49,51,3,18,0,4,0.0,4.0,0.0,4.0,3,6,424,439,345,364,7,14,16,16,4,9,47,54,10,34,37,62,1.0,1.0,4,0,-0.0039,0.0
13981759,1,2025-07-18,Jagiellonia Białystok,7691,Bruk-Bet Termalica Nieciecza,36851,0,4,Chorten Arena,Bialystok,Pawel Malec,A,0.89,2.47,64,36,13,18,4,6,0.0,3.0,0.0,1.0,3,8,543,311,469,226,7,10,20,25,4,8,57,56,35,23,73,49,1.0,0.0,3,4,-0.809,0.2532
13981760,1,2025-07-20,Radomiak Radom,7295,Pogoń Szczecin,3117,5,1,Stadion im. Braci Czachorów,Radom,Piotr Lasyk,H,1.66,1.47,43,57,15,6,8,1,4.0,4.0,1.0,3.0,4,4,300,403,240,333,8,9,7,7,7,7,29,33,25,16,48,48,1.0,1.0,0,3,-0.6282,-2.2077
13981761,1,2025-07-18,Lech Poznań,3121,Cracovia,4901,1,4,Enea Poznań,Poznan,Damian Sylwestrzak,A,1.43,0.73,75,25,10,7,2,5,1.0,2.0,,,5,0,638,222,572,153,10,12,6,12,4,8,31,31,16,8,90,31,1.0,2.0,1,1,-1.6238,-0.0992
13981884,1,2025-07-19,Wisła Płock,3122,MKS Korona Kielce,5065,2,0,Stadion im. Kazimierza Gorskiego,Plock,Damian Kos,H,2.75,0.12,64,36,22,5,8,1,6.0,0.0,4.0,0.0,7,1,499,282,436,212,12,13,15,10,8,8,33,35,46,7,64,41,1.0,3.0,1,6,0.0729,0.148
14079318,1,2025-12-14,Legia Warszawa,3106,Piast Gliwice,7918,0,1,Stadion Wojska Polskiego w Warszawie,Warsaw,Mohammad Al-Emara,A,0.65,0.56,52,48,10,10,2,3,,,,,5,3,416,388,321,302,14,14,19,16,12,14,65,64,18,12,52,55,3.0,1.0,2,2,-0.4017,0.1764
13981745,2,2025-07-26,Piast Gliwice,7918,Górnik Zabrze,3110,0,1,Stadion Miejski w Gliwicach,Gliwice,Tomasz Kwiatkowski,A,0.76,0.27,62,38,10,8,0,4,1.0,1.0,1.0,1.0,6,2,514,315,452,255,13,8,13,9,7,5,36,25,21,15,38,46,2.0,1.0,3,0,-0.6942,0.0
13981747,2,2025-07-27,Raków Częstochowa,35268,Wisła Płock,3122,1,2,Miejski Stadion Piłkarski Raków w Częstochowie,Czestochowa,Paweł Raczkowski,A,0.78,2.42,61,39,11,11,3,5,1.0,3.0,1.0,2.0,6,3,480,320,410,239,17,21,13,14,4,5,42,53,22,15,48,47,4.0,4.0,3,2,0.4466,0.1055
13981748,2,2025-07-27,Jagiellonia Białystok,7691,Widzew Łódź,3115,3,2,Chorten Arena,Bialystok,Wojciech Myc,H,1.63,1.19,59,41,12,18,5,7,3.0,2.0,,,4,2,442,314,364,244,12,18,17,11,5,14,43,47,25,22,41,41,2.0,3.0,5,2,-0.8477,-1.1188
13981749,2,2025-07-27,MKS Korona Kielce,5065,Legia Warszawa,3106,0,2,Exbud Arena,Kielce,Szymon Marciniak,A,1.05,1.72,52,48,18,17,2,5,2.0,2.0,2.0,1.0,13,7,388,374,311,300,8,15,13,17,12,8,39,48,25,28,50,51,0.0,1.0,3,2,-0.5685,0.5361
13981755,2,2025-07-25,MZKS Arka Gdynia,5064,Radomiak Radom,7295,1,1,Stadion GOSiR,Gdynia,Karol Arys,D,0.76,0.84,49,51,10,15,4,3,2.0,1.0,1.0,0.0,5,4,319,334,251,266,16,12,16,21,6,7,35,41,17,20,52,55,1.0,3.0,2,3,0.1478,-0.1034
13981765,2,2025-07-26,KS Lechia Gdańsk,7913,Lech Poznań,3121,3,4,Polsat Plus Arena Gdańsk,Gdansk,Bartosz Frankowski,A,1.38,2.59,40,60,16,21,7,11,3.0,4.0,1.0,3.0,9,10,278,433,211,363,13,11,18,14,7,2,32,29,22,32,50,53,3.0,3.0,7,4,-1.6502,-0.759
13981766,2,2025-07-26,Pogoń Szczecin,3117,Motor Lublin,7915,4,1,Stadion Miejski im. Floriana Krygiera,Szczecin,Patryk Gryckiewicz,H,2.66,1.77,42,58,19,20,5,8,3.0,2.0,0.0,1.0,6,8,298,409,231,348,11,8,8,20,7,8,47,37,30,34,51,62,2.0,1.0,7,1,0.8073,-0.7594
13981767,2,2025-07-25,Cracovia,4901,Bruk-Bet Termalica Nieciecza,36851,2,0,Marshal Jozef Pilsudski Stadium,Kraków,Jaroslaw Przybyl,H,1.74,0.59,46,54,14,7,3,4,2.0,1.0,0.0,1.0,5,6,314,363,234,272,16,16,20,23,11,2,47,39,20,18,39,70,3.0,5.0,5,1,1.3421,-0.2834
