match_id,round,team,team_id,is_home,player,player_id,position,substitute,minutesPlayed,rating,expectedGoals,expectedAssists,goals,goalAssist,totalShots,shotOffTarget,onTargetScoringAttempt,touches,totalPass,accuratePass,keyPass,totalLongBalls,accurateLongBalls,totalCross,accurateCross,duelWon,duelLost,aerialWon,aerialLost,totalTackle,wonTackle,interceptionWon,totalClearance,ballRecovery,possessionLostCtrl,fouls,wasFouled,dribbleValueNormalized,totalProgression,progressiveBallCarriesCount,saves,goalsPrevented
13981750,1,Widzew Łódź,3115,True,Rafał Gikiewicz,44938,G,False,90.0,7.5,,0.00093908,,0.0,0,,,54.0,44.0,38.0,,12.0,7.0,,,1.0,,1.0,,,,,,10.0,6.0,,1.0,,,,2.0,0.124
13981750,1,Widzew Łódź,3115,True,Peter Therkildsen,851161,D,False,76.0,7.2,,0.595272,,1.0,0,,,33.0,18.0,14.0,3.0,4.0,1.0,,,4.0,4.0,1.0,,3.0,2.0,,4.0,3.0,9.0,,,,,,,
13981750,1,Widzew Łódź,3115,True,Ricardo Visus,1046322,D,False,90.0,7.5,0.0648,0.114721,,0.0,1,,,71.0,61.0,53.0,1.0,14.0,8.0,,,2.0,1.0,2.0,1.0,,,,5.0,1.0,10.0,,,,,,,
13981750,1,Widzew Łódź,3115,True,Mateusz Żyro,851245,D,False,90.0,7.4,,0.0145753,,0.0,0,,,64.0,54.0,46.0,,8.0,4.0,,,5.0,5.0,2.0,3.0,1.0,1.0,,5.0,,8.0,2.0,2.0,,,,,
13981750,1,Widzew Łódź,3115,True,Samuel Kozlovský,836687,D,False,90.0,7.3,,0.0520527,,0.0,0,,,45.0,24.0,19.0,3.0,4.0,2.0,2.0,1.0,4.0,,2.0,,2.0,1.0,,2.0,1.0,8.0,,,,,,,
13981750,1,Widzew Łódź,3115,True,Samuel Akere,1387184,M,False,62.0,7.0,0.1008,0.0583,,0.0,1,,1.0,28.0,18.0,14.0,1.0,,,,,6.0,4.0,1.0,1.0,1.0,1.0,,,3.0,8.0,1.0,2.0,,,,,
13981750,1,Widzew Łódź,3115,True,Lindon Selahi,922945,M,False,70.0,6.4,0.029,0.0102949,,0.0,2,,,45.0,33.0,29.0,,2.0,,,,3.0,3.0,,1.0,1.0,1.0,,1.0,,6.0,1.0,2.0,,,,,
13981750,1,Widzew Łódź,3115,True,Juljan Shehu,971523,M,False,90.0,8.2,0.1135,0.0368139,1.0,0.0,2,,2.0,53.0,29.0,23.0,1.0,2.0,,1.0,,14.0,7.0,1.0,4.0,4.0,1.0,1.0,2.0,7.0,9.0,1.0,6.0,,,,,
13981750,1,Widzew Łódź,3115,True,Mariusz Fornalczyk,1049444,M,False,90.0,6.6,0.0565,0.0524645,,0.0,1,,,40.0,19.0,15.0,1.0,2.0,1.0,3.0,,4.0,7.0,,,,,,,3.0,16.0,,2.0,,,,,
13981750,1,Widzew Łódź,3115,True,Fran Álvarez,965034,F,False,62.0,7.1,,0.12369,,0.0,0,,,34.0,17.0,13.0,1.0,1.0,,8.0,3.0,3.0,1.0,1.0,1.0,,,,1.0,,12.0,,2.0,,,,,
13981750,1,Widzew Łódź,3115,True,Sebastian Bergier,913575,F,False,76.0,7.0,0.3383,0.027974,,0.0,3,1.0,1.0,22.0,9.0,5.0,1.0,,,,,4.0,3.0,4.0,1.0,,,,3.0,1.0,7.0,1.0,,,,,,
13981750,1,Widzew Łódź,3115,True,Szymon Czyż,1005890,M,True,28.0,6.6,,0.00120486,,0.0,0,,,10.0,4.0,1.0,,1.0,,,,2.0,2.0,,1.0,1.0,1.0,,2.0,1.0,3.0,,1.0,,,,,
